HINT_WALL 1
nfp = 5
stellarator_symmetric = true
toroidal_planes = 21
poloidal_points = 72
DATA
# phi [rad]  R [m]  Z [m]; implicit poloidal closing segment
0.00000000000000000e+00 6.46558999999999973e+00 0.00000000000000000e+00
0.00000000000000000e+00 6.46027000000000040e+00 1.50010000000000004e-01
0.00000000000000000e+00 6.44390999999999980e+00 2.99146999999999996e-01
0.00000000000000000e+00 6.41528000000000009e+00 4.46307999999999983e-01
0.00000000000000000e+00 6.37320000000000064e+00 5.88687999999999989e-01
0.00000000000000000e+00 6.31759999999999966e+00 7.22408999999999968e-01
0.00000000000000000e+00 6.24899000000000004e+00 8.44420999999999977e-01
0.00000000000000000e+00 6.16847000000000012e+00 9.51945000000000041e-01
0.00000000000000000e+00 6.07908000000000026e+00 1.04221000000000008e+00
0.00000000000000000e+00 5.98446000000000033e+00 1.11453999999999986e+00
0.00000000000000000e+00 5.88658999999999999e+00 1.17002999999999990e+00
0.00000000000000000e+00 5.78722999999999921e+00 1.20904999999999996e+00
0.00000000000000000e+00 5.68948999999999927e+00 1.23208000000000006e+00
0.00000000000000000e+00 5.59570000000000078e+00 1.24114999999999998e+00
0.00000000000000000e+00 5.50754000000000055e+00 1.23741999999999996e+00
0.00000000000000000e+00 5.42884000000000011e+00 1.22058000000000000e+00
0.00000000000000000e+00 5.36373999999999995e+00 1.19255000000000000e+00
0.00000000000000000e+00 5.31282999999999994e+00 1.15751999999999988e+00
0.00000000000000000e+00 5.27496999999999971e+00 1.11783000000000010e+00
0.00000000000000000e+00 5.24960000000000004e+00 1.07355000000000000e+00
0.00000000000000000e+00 5.23448999999999920e+00 1.02492000000000005e+00
0.00000000000000000e+00 5.22640999999999956e+00 9.72180000000000044e-01
0.00000000000000000e+00 5.22440000000000015e+00 9.15212999999999943e-01
0.00000000000000000e+00 5.22770999999999919e+00 8.54291999999999940e-01
0.00000000000000000e+00 5.23417000000000066e+00 7.89538999999999991e-01
0.00000000000000000e+00 5.24605000000000032e+00 7.21628999999999965e-01
