HINT_WALL 1
nfp = 3
stellarator_symmetric = true
toroidal_planes = 65
poloidal_points = 204
DATA
# phi [rad]  R [m]  Z [m]; implicit poloidal closing segment
0.00000000000000000e+00 2.45113035517826727e+00 0.00000000000000000e+00
0.00000000000000000e+00 2.45056577155458655e+00 2.95306960805101076e-02
0.00000000000000000e+00 2.44884055634792697e+00 5.90043548532075413e-02
0.00000000000000000e+00 2.44587391489131889e+00 8.83637105015550178e-02
0.00000000000000000e+00 2.44156876399088540e+00 1.17548635279395131e-01
0.00000000000000000e+00 2.43584647253092035e+00 1.46491742178612300e-01
0.00000000000000000e+00 2.42866778965876273e+00 1.75116188743456358e-01
0.00000000000000000e+00 2.42003616353130813e+00 2.03339992464679292e-01
0.00000000000000000e+00 2.40999115587184853e+00 2.31087540961589483e-01
0.00000000000000000e+00 2.39860231900982734e+00 2.58303670738967595e-01
0.00000000000000000e+00 2.38596705144537857e+00 2.84962685488443113e-01
0.00000000000000000e+00 2.37220700227255499e+00 3.11066639061519601e-01
0.00000000000000000e+00 2.35745542108308204e+00 3.36633266565749822e-01
0.00000000000000000e+00 2.34183498770843368e+00 3.61680169869787016e-01
0.00000000000000000e+00 2.32543598300461740e+00 3.86213989396577029e-01
0.00000000000000000e+00 2.30830854408465891e+00 4.10229826403726683e-01
0.00000000000000000e+00 2.29047541929265375e+00 4.33719500995127571e-01
0.00000000000000000e+00 2.27195774067622436e+00 4.56681900822884401e-01
0.00000000000000000e+00 2.25279660746912480e+00 4.79128174629158299e-01
0.00000000000000000e+00 2.23305590914072249e+00 5.01078839899215089e-01
0.00000000000000000e+00 2.21280548558946011e+00 5.22555665035909778e-01
0.00000000000000000e+00 2.19209819733923750e+00 5.43574337143179820e-01
0.00000000000000000e+00 2.17095856481313421e+00 5.64142524149387037e-01
0.00000000000000000e+00 2.14939113858833108e+00 5.84263486483283967e-01
0.00000000000000000e+00 2.12740119007305450e+00 6.03941445224594919e-01
0.00000000000000000e+00 2.10501097980659990e+00 6.23184299889854021e-01
0.00000000000000000e+00 2.08225904998325317e+00 6.42002068176475871e-01
0.00000000000000000e+00 2.05918409931665902e+00 6.60403070489934074e-01
0.00000000000000000e+00 2.03580748479169760e+00 6.78391450893267134e-01
0.00000000000000000e+00 2.01212914814519417e+00 6.95968068219958824e-01
0.00000000000000000e+00 1.98814033815064062e+00 7.13133665875169021e-01
0.00000000000000000e+00 1.96384243740702891e+00 7.29891282154412124e-01
0.00000000000000000e+00 1.93925617116007198e+00 7.46245711817431157e-01
0.00000000000000000e+00 1.91441362673853566e+00 7.62200647572040757e-01
0.00000000000000000e+00 1.88934001745433511e+00 7.77756383980311883e-01
0.00000000000000000e+00 1.86404080768165659e+00 7.92910580030309453e-01
0.00000000000000000e+00 1.83850529147870945e+00 8.07661732371127372e-01
0.00000000000000000e+00 1.81272365129398860e+00 8.22012084135432142e-01
0.00000000000000000e+00 1.78670272182731060e+00 8.35966326644663082e-01
0.00000000000000000e+00 1.76046628592668242e+00 8.49525303895126704e-01
0.00000000000000000e+00 1.73403858986918702e+00 8.62677966226125359e-01
0.00000000000000000e+00 1.70742430167850534e+00 8.75396796873514460e-01
0.00000000000000000e+00 1.68060198693433693e+00 8.87639998573112932e-01
0.00000000000000000e+00 1.65353763072903504e+00 8.99359051901637896e-01
0.00000000000000000e+00 1.62620818453969695e+00 9.10506334799290440e-01
0.00000000000000000e+00 1.59861638489197611e+00 9.21037487804608035e-01
0.00000000000000000e+00 1.57078490356975831e+00 9.30907381526545064e-01
0.00000000000000000e+00 1.54273506730145682e+00 9.40063815277079051e-01
0.00000000000000000e+00 1.51446870451523785e+00 9.48445252067572020e-01
0.00000000000000000e+00 1.48596958790567002e+00 9.55985952651235205e-01
0.00000000000000000e+00 1.45722455102384196e+00 9.62625789889269945e-01
0.00000000000000000e+00 1.42824710437147973e+00 9.68317565439560823e-01
0.00000000000000000e+00 1.39908314900480057e+00 9.73025771041074794e-01
0.00000000000000000e+00 1.36979278432099405e+00 9.76717249742510618e-01
0.00000000000000000e+00 1.34042274810034368e+00 9.79351362265818426e-01
0.00000000000000000e+00 1.31099311464320278e+00 9.80878901094356825e-01
0.00000000000000000e+00 1.28151072146967948e+00 9.81252342308644665e-01
0.00000000000000000e+00 1.25199887513529262e+00 9.80438571130270775e-01
0.00000000000000000e+00 1.22251809078941220e+00 9.78417265919928059e-01
0.00000000000000000e+00 1.19316079006079478e+00 9.75151437592722603e-01
0.00000000000000000e+00 1.16402988514556793e+00 9.70532479924516300e-01
